,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,COMP,
3. Last Refreshed,2023-09-29 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2023-09-21 16:00:00,,"{'1. open': '2.9300', '2. high': '2.9300', '3. low': '2.9200', '4. close': '2.9200', '5. volume': '335251'}"
2023-09-21 15:00:00,,"{'1. open': '2.9100', '2. high': '2.9400', '3. low': '2.8950', '4. close': '2.9300', '5. volume': '588523'}"
2023-09-21 14:00:00,,"{'1. open': '2.9450', '2. high': '2.9500', '3. low': '2.9050', '4. close': '2.9150', '5. volume': '246803'}"
2023-09-21 13:00:00,,"{'1. open': '2.9050', '2. high': '2.9700', '3. low': '2.9000', '4. close': '2.9400', '5. volume': '330376'}"
2023-09-21 12:00:00,,"{'1. open': '2.9700', '2. high': '2.9700', '3. low': '2.9000', '4. close': '2.9000', '5. volume': '363701'}"
2023-09-21 11:00:00,,"{'1. open': '2.9650', '2. high': '2.9950', '3. low': '2.9400', '4. close': '2.9700', '5. volume': '373946'}"
2023-09-21 10:00:00,,"{'1. open': '3.0210', '2. high': '3.0800', '3. low': '2.9600', '4. close': '2.9600', '5. volume': '527487'}"
2023-09-21 09:00:00,,"{'1. open': '3.0900', '2. high': '3.2400', '3. low': '3.0200', '4. close': '3.0250', '5. volume': '292706'}"
2023-09-21 08:00:00,,"{'1. open': '3.2900', '2. high': '3.2900', '3. low': '3.0600', '4. close': '3.0600', '5. volume': '301'}"
2023-09-20 19:00:00,,"{'1. open': '3.2200', '2. high': '3.2200', '3. low': '3.2200', '4. close': '3.2200', '5. volume': '203372'}"
2023-09-20 18:00:00,,"{'1. open': '3.2200', '2. high': '3.3000', '3. low': '3.2200', '4. close': '3.3000', '5. volume': '203394'}"
2023-09-20 17:00:00,,"{'1. open': '3.3240', '2. high': '3.3500', '3. low': '3.2200', '4. close': '3.2200', '5. volume': '66820'}"
2023-09-20 16:00:00,,"{'1. open': '3.2200', '2. high': '3.3800', '3. low': '3.1500', '4. close': '3.3800', '5. volume': '627347'}"
2023-09-20 15:00:00,,"{'1. open': '3.2400', '2. high': '3.2500', '3. low': '3.1800', '4. close': '3.2200', '5. volume': '1258346'}"
2023-09-20 14:00:00,,"{'1. open': '3.2600', '2. high': '3.2800', '3. low': '3.2200', '4. close': '3.2400', '5. volume': '507535'}"
2023-09-20 13:00:00,,"{'1. open': '3.2350', '2. high': '3.2800', '3. low': '3.2250', '4. close': '3.2700', '5. volume': '150829'}"
2023-09-20 12:00:00,,"{'1. open': '3.2800', '2. high': '3.2800', '3. low': '3.2200', '4. close': '3.2400', '5. volume': '216751'}"
