,Meta Data,Time Series (60min)
1. Information,"Intraday (60min) open, high, low, close prices and volume",
2. Symbol,GOOGL,
3. Last Refreshed,2022-10-31 19:00:00,
4. Interval,60min,
5. Output Size,Full size,
6. Time Zone,US/Eastern,
2022-10-19 19:00:00,,"{'1. open': '99.5700', '2. high': '99.7000', '3. low': '99.2500', '4. close': '99.5800', '5. volume': '10943'}"
2022-10-19 18:00:00,,"{'1. open': '99.7800', '2. high': '99.9700', '3. low': '99.5000', '4. close': '99.5700', '5. volume': '9941'}"
2022-10-19 17:00:00,,"{'1. open': '99.8990', '2. high': '99.8990', '3. low': '99.7100', '4. close': '99.8700', '5. volume': '8860'}"
2022-10-19 16:00:00,,"{'1. open': '99.6300', '2. high': '100.1900', '3. low': '99.6200', '4. close': '99.6300', '5. volume': '3310421'}"
2022-10-19 15:00:00,,"{'1. open': '99.3200', '2. high': '99.7200', '3. low': '99.1400', '4. close': '99.7050', '5. volume': '3142012'}"
2022-10-19 14:00:00,,"{'1. open': '99.2600', '2. high': '99.7600', '3. low': '99.1400', '4. close': '99.3150', '5. volume': '1287061'}"
2022-10-19 13:00:00,,"{'1. open': '99.6200', '2. high': '99.7200', '3. low': '98.9200', '4. close': '99.2650', '5. volume': '1670128'}"
2022-10-19 12:00:00,,"{'1. open': '100.6100', '2. high': '100.6600', '3. low': '99.5200', '4. close': '99.6300', '5. volume': '1444860'}"
2022-10-19 11:00:00,,"{'1. open': '100.3250', '2. high': '100.7100', '3. low': '99.7950', '4. close': '100.6160', '5. volume': '2107659'}"
2022-10-19 10:00:00,,"{'1. open': '99.6100', '2. high': '100.8050', '3. low': '99.3400', '4. close': '100.3300', '5. volume': '3298206'}"
2022-10-19 09:00:00,,"{'1. open': '100.7600', '2. high': '101.0180', '3. low': '99.3100', '4. close': '99.6100', '5. volume': '3210889'}"
2022-10-19 08:00:00,,"{'1. open': '100.6820', '2. high': '101.5800', '3. low': '100.2600', '4. close': '100.8100', '5. volume': '64425'}"
2022-10-19 07:00:00,,"{'1. open': '101.4100', '2. high': '101.5800', '3. low': '100.3100', '4. close': '100.7600', '5. volume': '30042'}"
2022-10-19 06:00:00,,"{'1. open': '101.6100', '2. high': '101.6700', '3. low': '100.7700', '4. close': '101.3000', '5. volume': '19959'}"
2022-10-19 05:00:00,,"{'1. open': '101.3200', '2. high': '101.8000', '3. low': '101.3200', '4. close': '101.7800', '5. volume': '9467'}"
2022-10-19 04:00:00,,"{'1. open': '101.2500', '2. high': '101.4200', '3. low': '100.7800', '4. close': '101.4000', '5. volume': '21605'}"
2022-10-18 19:00:00,,"{'1. open': '102.2400', '2. high': '103.0000', '3. low': '102.1900', '4. close': '102.4400', '5. volume': '24141'}"
2022-10-18 18:00:00,,"{'1. open': '102.1400', '2. high': '102.3000', '3. low': '101.8100', '4. close': '102.2400', '5. volume': '24709'}"
2022-10-18 17:00:00,,"{'1. open': '102.0700', '2. high': '102.3700', '3. low': '102.0300', '4. close': '102.1400', '5. volume': '57316'}"
2022-10-18 16:00:00,,"{'1. open': '100.8000', '2. high': '102.2400', '3. low': '100.4400', '4. close': '102.1920', '5. volume': '2323679'}"
2022-10-18 15:00:00,,"{'1. open': '100.3900', '2. high': '101.0400', '3. low': '100.0500', '4. close': '100.8000', '5. volume': '3005892'}"
2022-10-18 14:00:00,,"{'1. open': '101.0700', '2. high': '101.1300', '3. low': '99.9700', '4. close': '100.3850', '5. volume': '1921627'}"
2022-10-18 13:00:00,,"{'1. open': '100.9300', '2. high': '101.2500', '3. low': '100.3600', '4. close': '101.0900', '5. volume': '1373219'}"
2022-10-18 12:00:00,,"{'1. open': '100.7800', '2. high': '101.3600', '3. low': '100.4400', '4. close': '100.9300', '5. volume': '1697950'}"
2022-10-18 11:00:00,,"{'1. open': '101.5000', '2. high': '101.5000', '3. low': '100.1200', '4. close': '100.7850', '5. volume': '2456553'}"
2022-10-18 10:00:00,,"{'1. open': '101.4050', '2. high': '102.0000', '3. low': '101.1200', '4. close': '101.5100', '5. volume': '2793553'}"
2022-10-18 09:00:00,,"{'1. open': '102.8700', '2. high': '103.4700', '3. low': '101.0950', '4. close': '101.4000', '5. volume': '3484702'}"
2022-10-18 08:00:00,,"{'1. open': '101.9360', '2. high': '102.9200', '3. low': '99.7210', '4. close': '102.8500', '5. volume': '119412'}"
2022-10-18 07:00:00,,"{'1. open': '101.7700', '2. high': '102.4300', '3. low': '101.7700', '4. close': '102.4000', '5. volume': '23547'}"
2022-10-18 06:00:00,,"{'1. open': '101.8700', '2. high': '102.4000', '3. low': '101.8400', '4. close': '101.8400', '5. volume': '5799'}"
2022-10-18 05:00:00,,"{'1. open': '101.5600', '2. high': '101.8500', '3. low': '101.3200', '4. close': '101.8000', '5. volume': '7955'}"
2022-10-18 04:00:00,,"{'1. open': '101.3600', '2. high': '102.2300', '3. low': '101.3600', '4. close': '101.5000', '5. volume': '10070'}"
2022-10-17 19:00:00,,"{'1. open': '100.9200', '2. high': '101.3000', '3. low': '100.8200', '4. close': '101.3000', '5. volume': '26585'}"
2022-10-17 18:00:00,,"{'1. open': '100.4200', '2. high': '101.0000', '3. low': '100.4200', '4. close': '100.9800', '5. volume': '45867'}"
2022-10-17 17:00:00,,"{'1. open': '100.1500', '2. high': '100.5200', '3. low': '100.1200', '4. close': '100.1950', '5. volume': '23123'}"
2022-10-17 16:00:00,,"{'1. open': '100.0200', '2. high': '100.2500', '3. low': '99.8200', '4. close': '100.1400', '5. volume': '4973713'}"
2022-10-17 15:00:00,,"{'1. open': '100.2700', '2. high': '100.3200', '3. low': '99.6930', '4. close': '100.0200', '5. volume': '4613051'}"
2022-10-17 14:00:00,,"{'1. open': '100.7200', '2. high': '100.8900', '3. low': '100.2020', '4. close': '100.2790', '5. volume': '1536876'}"
2022-10-17 13:00:00,,"{'1. open': '100.1300', '2. high': '100.7700', '3. low': '99.9300', '4. close': '100.7250', '5. volume': '1664209'}"
2022-10-17 12:00:00,,"{'1. open': '100.1250', '2. high': '100.3250', '3. low': '99.6450', '4. close': '100.1400', '5. volume': '1864747'}"
2022-10-17 11:00:00,,"{'1. open': '100.1100', '2. high': '100.3400', '3. low': '99.6550', '4. close': '100.1300', '5. volume': '2245167'}"
2022-10-17 10:00:00,,"{'1. open': '100.2050', '2. high': '100.6300', '3. low': '99.8400', '4. close': '100.1150', '5. volume': '2358691'}"
2022-10-17 09:00:00,,"{'1. open': '98.5300', '2. high': '100.9300', '3. low': '98.5200', '4. close': '100.2100', '5. volume': '4201173'}"
2022-10-17 08:00:00,,"{'1. open': '97.9410', '2. high': '98.5000', '3. low': '96.3190', '4. close': '98.5000', '5. volume': '75050'}"
2022-10-17 07:00:00,,"{'1. open': '97.9100', '2. high': '98.2400', '3. low': '97.7500', '4. close': '98.0900', '5. volume': '10853'}"
2022-10-17 06:00:00,,"{'1. open': '97.8400', '2. high': '98.2900', '3. low': '97.7200', '4. close': '98.0200', '5. volume': '8509'}"
2022-10-17 05:00:00,,"{'1. open': '97.5800', '2. high': '97.7900', '3. low': '97.5800', '4. close': '97.7900', '5. volume': '924'}"
2022-10-17 04:00:00,,"{'1. open': '97.5500', '2. high': '97.7000', '3. low': '97.3700', '4. close': '97.4000', '5. volume': '2525'}"
2022-10-14 19:00:00,,"{'1. open': '96.4000', '2. high': '96.4800', '3. low': '96.3000', '4. close': '96.3000', '5. volume': '5402'}"
2022-10-14 18:00:00,,"{'1. open': '96.4500', '2. high': '96.5200', '3. low': '96.3400', '4. close': '96.3400', '5. volume': '9869'}"
2022-10-14 17:00:00,,"{'1. open': '96.5000', '2. high': '96.5000', '3. low': '96.3500', '4. close': '96.4210', '5. volume': '9334'}"
2022-10-14 16:00:00,,"{'1. open': '96.5750', '2. high': '96.8400', '3. low': '96.3700', '4. close': '96.6100', '5. volume': '4744623'}"
2022-10-14 15:00:00,,"{'1. open': '96.9850', '2. high': '97.1900', '3. low': '96.3700', '4. close': '96.5800', '5. volume': '4661460'}"
2022-10-14 14:00:00,,"{'1. open': '97.4400', '2. high': '97.4400', '3. low': '96.6400', '4. close': '96.9750', '5. volume': '1295307'}"
2022-10-14 13:00:00,,"{'1. open': '97.0600', '2. high': '97.5450', '3. low': '96.9400', '4. close': '97.4300', '5. volume': '1198939'}"
2022-10-14 12:00:00,,"{'1. open': '97.1500', '2. high': '97.6000', '3. low': '96.6550', '4. close': '97.0610', '5. volume': '1501366'}"
2022-10-14 11:00:00,,"{'1. open': '97.7400', '2. high': '98.2200', '3. low': '97.0700', '4. close': '97.1600', '5. volume': '1935757'}"
