Date & Hour;Open;High;Low;Close;Volume
2022-10-14 08:00:00;2.7100;2.7600;2.7100;2.7600;1693
2022-10-13 19:00:00;2.7200;2.7200;2.7200;2.7200;100
2022-10-13 16:00:00;2.7000;2.7100;2.7000;2.7100;125362
2022-10-13 15:00:00;2.6750;2.7200;2.6700;2.6900;877240
2022-10-13 14:00:00;2.7000;2.7200;2.6500;2.6750;447087
2022-10-13 13:00:00;2.6900;2.7300;2.6700;2.7000;294141
2022-10-13 12:00:00;2.6000;2.6900;2.6000;2.6850;377382
2022-10-13 11:00:00;2.5100;2.6300;2.4800;2.6050;462920
2022-10-13 10:00:00;2.5000;2.5350;2.4200;2.5200;436804
2022-10-13 09:00:00;2.6100;2.6200;2.4700;2.5050;416705
2022-10-13 08:00:00;2.6600;2.7900;2.6100;2.6100;3368
2022-10-12 18:00:00;2.7300;2.7300;2.7300;2.7300;500
2022-10-12 17:00:00;2.7400;2.7400;2.7400;2.7400;350
2022-10-12 16:00:00;2.7100;2.7100;2.7100;2.7100;203012
2022-10-12 15:00:00;2.7100;2.7600;2.7000;2.7000;970886
2022-10-12 14:00:00;2.6900;2.7200;2.6800;2.7100;451217
2022-10-12 13:00:00;2.7200;2.7300;2.6850;2.6900;475812
2022-10-12 12:00:00;2.7350;2.7500;2.7000;2.7150;383970
2022-10-12 11:00:00;2.7450;2.7550;2.7250;2.7350;427404
2022-10-12 10:00:00;2.7950;2.8000;2.7100;2.7450;617737
2022-10-12 09:00:00;2.9000;2.9200;2.7600;2.7950;387551
2022-10-12 08:00:00;2.8900;2.8900;2.8900;2.8900;1500
2022-10-11 17:00:00;2.9500;2.9500;2.9500;2.9500;150
2022-10-11 16:00:00;2.9300;2.9300;2.8000;2.8000;342948
2022-10-11 15:00:00;2.8550;2.9400;2.8400;2.9200;1037589
2022-10-11 14:00:00;2.9150;2.9400;2.8500;2.8550;523724
2022-10-11 13:00:00;2.8850;2.9400;2.8850;2.9150;486867
2022-10-11 12:00:00;2.8100;2.9100;2.7900;2.8850;361308
2022-10-11 11:00:00;2.7450;2.8300;2.7400;2.8100;347845
2022-10-11 10:00:00;2.6400;2.7750;2.6200;2.7450;414809
2022-10-11 09:00:00;2.7100;2.8200;2.6300;2.6450;228622
2022-10-11 08:00:00;2.7000;2.7000;2.6800;2.6800;600
2022-10-10 17:00:00;2.7700;2.7700;2.7700;2.7700;100
2022-10-10 16:00:00;2.7700;2.7900;2.7700;2.7900;186303
2022-10-10 15:00:00;2.7850;2.7950;2.7400;2.7650;1200033
2022-10-10 14:00:00;2.8150;2.8200;2.7800;2.7900;302027
2022-10-10 13:00:00;2.7600;2.8200;2.7500;2.8100;353949
2022-10-10 12:00:00;2.8150;2.8150;2.7600;2.7600;323036
2022-10-10 11:00:00;2.8100;2.8400;2.7950;2.8100;346214
2022-10-10 10:00:00;2.8050;2.8300;2.7800;2.8050;515826
2022-10-10 09:00:00;2.9100;2.9100;2.7800;2.8050;397665
2022-10-10 08:00:00;2.7900;2.7900;2.7900;2.7900;1900
2022-10-10 04:00:00;2.9700;2.9700;2.9700;2.9700;200
2022-10-07 17:00:00;2.9000;2.9000;2.9000;2.9000;100
2022-10-07 16:00:00;2.8700;2.9000;2.8700;2.9000;407639
2022-10-07 15:00:00;2.8650;2.8950;2.8600;2.8700;824181
2022-10-07 14:00:00;2.8750;2.9050;2.8600;2.8650;317784
2022-10-07 13:00:00;2.9000;2.9100;2.8600;2.8750;302132
2022-10-07 12:00:00;2.8850;2.9200;2.8800;2.9050;262398
2022-10-07 11:00:00;2.9750;3.0090;2.8800;2.8850;525314
2022-10-07 10:00:00;2.7850;2.9900;2.7850;2.9800;799663
2022-10-07 09:00:00;2.8700;2.8850;2.7400;2.7850;618372
2022-10-07 08:00:00;2.9900;3.0200;2.9000;2.9500;15343
2022-10-07 07:00:00;2.9900;2.9900;2.9100;2.9100;3564
2022-10-07 06:00:00;3.0100;3.0100;3.0000;3.0000;329
2022-10-07 05:00:00;3.0700;3.2200;2.9800;3.0200;627
2022-10-07 04:00:00;3.3600;3.3600;3.2100;3.2700;668
2022-10-06 19:00:00;2.9000;2.9500;2.9000;2.9500;2800
2022-10-06 18:00:00;2.8100;2.9000;2.8100;2.9000;6800
2022-10-06 17:00:00;2.8000;2.8200;2.8000;2.8200;4100
2022-10-06 16:00:00;2.9600;2.9600;2.7800;2.8800;231069
2022-10-06 15:00:00;2.9150;2.9700;2.9010;2.9600;1156508
2022-10-06 14:00:00;2.8710;2.9550;2.8400;2.9150;1025149
2022-10-06 13:00:00;2.8100;2.9100;2.8100;2.8750;608211
2022-10-06 12:00:00;2.8050;2.8300;2.7800;2.8050;496889
2022-10-06 11:00:00;2.9850;2.9900;2.7900;2.8050;2197782
2022-10-06 10:00:00;2.9300;3.0000;2.8400;2.9900;2166225
2022-10-06 09:00:00;2.6600;3.2250;2.5800;2.9300;3822164
2022-10-06 08:00:00;2.7400;2.8980;2.5800;2.6800;194477
2022-10-06 07:00:00;2.8400;2.9000;2.6700;2.8500;48535
2022-10-05 19:00:00;2.8600;2.9000;2.7700;2.8500;20333
2022-10-05 18:00:00;2.5800;2.9400;2.5800;2.8000;128230
2022-10-05 16:00:00;2.5500;2.5500;2.5500;2.5500;134022
2022-10-05 15:00:00;2.5350;2.5600;2.5350;2.5450;287331
2022-10-05 14:00:00;2.5200;2.5400;2.5100;2.5400;106984
2022-10-05 13:00:00;2.5450;2.5600;2.5200;2.5200;185987
2022-10-05 12:00:00;2.5000;2.5600;2.4900;2.5450;374654
2022-10-05 11:00:00;2.4750;2.5100;2.4700;2.4950;215984
2022-10-05 10:00:00;2.5100;2.5200;2.4600;2.4750;401622
2022-10-05 09:00:00;2.6300;2.6300;2.5000;2.5150;337819
2022-10-04 18:00:00;2.6200;2.6200;2.6200;2.6200;3588
2022-10-04 17:00:00;2.6400;2.6400;2.6300;2.6300;390
2022-10-04 16:00:00;2.6300;2.6500;2.6300;2.6300;5295516
2022-10-04 15:00:00;2.6150;2.6300;2.5600;2.6200;588533
2022-10-04 14:00:00;2.6100;2.6200;2.5850;2.6200;136262
2022-10-04 13:00:00;2.6150;2.6180;2.5600;2.6050;124711
2022-10-04 12:00:00;2.6400;2.6650;2.6100;2.6100;244700
2022-10-04 11:00:00;2.6000;2.6400;2.5900;2.6300;232578
2022-10-04 10:00:00;2.6210;2.6350;2.5700;2.6000;340963
2022-10-04 09:00:00;2.5500;2.6800;2.5100;2.6250;243479
2022-10-03 16:00:00;2.4400;2.5400;2.4400;2.5400;268762
2022-10-03 15:00:00;2.4550;2.4600;2.4200;2.4300;840371
2022-10-03 14:00:00;2.4100;2.4650;2.4010;2.4550;224107
2022-10-03 13:00:00;2.3400;2.4100;2.3400;2.4050;203704
2022-10-03 12:00:00;2.3250;2.3500;2.3200;2.3350;116845
2022-10-03 11:00:00;2.3500;2.3900;2.3200;2.3250;110117
2022-10-03 10:00:00;2.2800;2.3700;2.2800;2.3450;308920
2022-10-03 09:00:00;2.3700;2.4000;2.2700;2.2700;186043
2022-10-03 08:00:00;2.3100;2.4300;2.3100;2.4300;3566
2022-11-30 19:00:00;2.9000;3.0000;2.9000;2.9800;2600
2022-11-30 18:00:00;2.8480;2.9000;2.8480;2.9000;3845
2022-11-30 16:00:00;2.9900;2.9900;2.9000;2.9000;698536
2022-11-30 15:00:00;2.9000;2.9900;2.8910;2.9850;951874
2022-11-30 14:00:00;2.8650;2.9800;2.8650;2.9000;523411
2022-11-30 13:00:00;2.7050;2.8750;2.7000;2.8700;298453
2022-11-30 12:00:00;2.7250;2.7300;2.6700;2.7050;107126
2022-11-30 11:00:00;2.6900;2.7400;2.6850;2.7300;94688
2022-11-30 10:00:00;2.6400;2.7260;2.6300;2.6910;139519
2022-11-30 09:00:00;2.7500;2.8000;2.6100;2.6450;132746
2022-11-29 19:00:00;2.6900;2.6900;2.6900;2.6900;100
2022-11-29 17:00:00;2.7600;2.7600;2.7600;2.7600;1000
2022-11-29 16:00:00;2.6900;2.7600;2.6800;2.7600;160489
2022-11-29 15:00:00;2.7000;2.7100;2.6800;2.6800;363743
2022-11-29 14:00:00;2.7350;2.7450;2.7000;2.7000;275230
2022-11-29 13:00:00;2.7440;2.7500;2.7100;2.7350;104218
2022-11-29 12:00:00;2.7750;2.7750;2.7400;2.7400;109383
2022-11-29 11:00:00;2.7850;2.7850;2.7350;2.7750;79745
2022-11-29 10:00:00;2.7700;2.8100;2.7300;2.7850;128193
2022-11-29 09:00:00;2.7000;2.7650;2.6800;2.7630;97701
2022-11-29 08:00:00;2.7000;2.8000;2.7000;2.8000;200
